sourcemac,seen_sec,first_ts,last_ts,span_sec,pct_present
00:00:00:00:00:00,282,1774455056,1774457002,1946,14.5
F6:BB:EF:2F:32:A1,255,1774455056,1774457061,2005,12.7
88:A2:9E:C3:3B:CF,212,1774455056,1774457061,2005,10.6
06:2E:C1:3F:30:08,99,1774455056,1774457061,2005,4.9
E2:55:6D:6E:DC:44,54,1774455471,1774455772,301,17.9
C4:41:1E:AE:05:76,36,1774455464,1774455772,308,11.7
6C:AA:B3:FF:0E:2F,36,1774456221,1774456560,339,10.6
6C:AA:B3:A6:4F:51,34,1774456221,1774456560,339,10.0
6C:AA:B3:5D:A5:95,34,1774456232,1774456548,316,10.7
6C:AA:B3:E6:A1:A1,33,1774456232,1774456548,316,10.4
4C:A3:8F:EF:70:2B,33,1774456237,1774456584,347,9.5
CA:41:1E:36:BA:97,32,1774455464,1774455771,307,10.4
6C:AA:B3:59:D5:E3,30,1774456224,1774456564,340,8.8
6C:AA:B3:0F:94:0D,30,1774456224,1774456564,340,8.8
00:08:22:95:48:42,25,1774455794,1774456109,315,7.9
38:06:E6:9E:2D:F5,24,1774455755,1774456133,378,6.3
22:AA:29:83:CF:29,24,1774456237,1774456584,347,6.9
CA:41:1E:2A:06:59,23,1774455415,1774455763,348,6.6
B8:69:F4:B7:28:AE,22,1774456742,1774457058,316,6.9
1C:B0:44:78:62:17,22,1774456229,1774456560,331,6.6
1A:84:06:2A:CB:4A,22,1774455408,1774455755,347,6.3
C4:41:1E:60:92:EC,21,1774455415,1774455763,348,6.0
C2:A4:76:97:33:41,21,1774456232,1774456548,316,6.6
C2:A4:76:1D:8B:75,21,1774456232,1774456548,316,6.6
9C:3E:53:88:B0:C0,21,1774455423,1774455766,343,6.1
E2:70:EA:0F:1D:B4,20,1774455423,1774455771,348,5.7
C2:A4:76:FF:CB:89,20,1774456232,1774456548,316,6.3
B4:61:E9:64:F2:79,20,1774455786,1774456133,347,5.7
32:8D:CB:A0:70:35,20,1774456232,1774456548,316,6.3
26:8D:CB:D4:48:DF,20,1774456232,1774456548,316,6.3
EC:0E:C4:25:B3:18,15,1774456244,1774456560,316,4.7
A8:40:F8:28:8E:AF,15,1774456236,1774456560,324,4.6
50:FD:D5:3C:9C:36,15,1774456228,1774456551,323,4.6
92:32:51:72:43:CB,14,1774455471,1774455772,301,4.6
1C:B0:44:69:0C:5F,14,1774456224,1774456556,332,4.2
E2:55:A8:A8:4B:20,13,1774455415,1774455763,348,3.7
C2:A4:76:59:AC:BD,13,1774456236,1774456552,316,4.1
C2:C4:F9:A0:C3:3C,12,1774455056,1774455372,316,3.8
A8:40:F8:36:08:C2,12,1774456232,1774456556,324,3.7
C2:A4:76:9F:50:A9,11,1774456244,1774456552,308,3.6
AC:86:74:0F:BD:1B,11,1774456236,1774456560,324,3.4
A8:40:F8:AD:CE:FD,10,1774456232,1774456556,324,3.1
58:96:71:EE:61:59,10,1774456221,1774456561,340,2.9
58:96:71:B2:48:71,10,1774456221,1774456561,340,2.9
58:96:71:28:31:26,9,1774456228,1774456552,324,2.8
B4:61:E9:62:5F:AE,8,1774455786,1774456670,884,0.9
64:67:72:BF:50:BD,8,1774456236,1774456551,315,2.5
24:E5:0F:84:91:33,8,1774455076,1774455439,363,2.2
E4:38:83:ED:26:61,7,1774455416,1774455763,347,2.0
E0:3E:44:BF:AD:16,7,1774456224,1774456556,332,2.1
C0:56:27:74:F7:9D,7,1774456157,1774456599,442,1.6
BC:82:5D:C2:76:F6,7,1774455565,1774456015,450,1.6
A4:BB:6D:0C:79:94,7,1774455408,1774455740,332,2.1
70:7D:A1:5F:44:BA,7,1774456228,1774456551,323,2.2
30:A0:23:BE:07:5A,7,1774455408,1774455779,371,1.9
F4:8E:38:B2:E4:2F,6,1774455396,1774455779,383,1.6
E2:55:7D:39:36:64,6,1774455423,1774455747,324,1.8
E0:63:DA:AB:F2:20,6,1774456228,1774456552,324,1.8
C4:AD:34:EC:09:CF,6,1774456098,1774456674,576,1.0
AC:86:74:32:8E:E5,6,1774456236,1774456552,316,1.9
