devmac,phyname,type,first_time,last_time,duration_sec,strongest_signal,avg_lat,avg_lon,bytes_data
00:03:7F:72:7B:FA,IEEE802.11,"Wi-Fi Ad-Hoc",1774455748,1774457061,1313,-83,35.7684031258068,-78.6589159639384,2000
46:AE:94:17:86:1F,Bluetooth,BTLE,1774455217,1774456402,1185,0,35.7695233315161,-78.642751064126,0
6A:31:E8:13:09:93,Bluetooth,BTLE,1774455217,1774456402,1185,0,35.7688791607232,-78.6428731717531,0
50:6F:9A:D1:AE:42,IEEE802.11,"Wi-Fi Ad-Hoc",1774455077,1774456134,1057,0,0.0,0.0,0
CF:E6:9E:DA:53:E7,Bluetooth,BTLE,1774455301,1774456192,891,0,35.774135596617,-78.6410087859344,0
E8:E6:C4:0A:A0:83,Bluetooth,BTLE,1774455303,1774456192,889,0,35.7739878661974,-78.6409514732607,0
DC:2C:6E:03:C3:05,IEEE802.11,"Wi-Fi Ad-Hoc",1774456098,1774456690,592,-92,35.7518427081602,-78.6490546219608,1836
C4:AD:34:EC:09:CF,IEEE802.11,"Wi-Fi Client",1774456098,1774456674,576,0,0.0,0.0,6204
00:14:3E:95:EF:55,IEEE802.11,"Wi-Fi AP",1774456141,1774456638,497,-84,35.7481039404511,-78.6464300803387,0
06:11:22:12:98:66,IEEE802.11,"Wi-Fi Bridged",1774456165,1774456647,482,0,0.0,0.0,908
C2:36:BC:3B:04:B0,IEEE802.11,"Wi-Fi AP",1774456150,1774456623,473,-93,35.746689667,-78.644909,0
94:91:7F:D2:17:B6,IEEE802.11,"Wi-Fi AP",1774456150,1774456615,465,-64,35.7464143489617,-78.6468420901865,0
02:18:4A:8E:EB:C5,IEEE802.11,"Wi-Fi AP",1774456173,1774456615,442,-73,35.7450169485455,-78.6480422706621,0
DC:08:DA:19:50:ED,IEEE802.11,"Wi-Fi AP",1774456161,1774456595,434,-71,35.743941295622,-78.6472425474491,0
7E:08:DA:AD:6D:F6,IEEE802.11,"Wi-Fi AP",1774456161,1774456595,434,-67,35.7439604472957,-78.6470820873818,0
7C:DB:98:45:41:F4,IEEE802.11,"Wi-Fi AP",1774456169,1774456596,427,-82,35.7436321376206,-78.647515241752,0
FC:34:97:95:AA:39,IEEE802.11,"Wi-Fi AP",1774456169,1774456595,426,-95,35.7440192260032,-78.647310447945,0
7C:0C:F6:1F:EE:A5,IEEE802.11,"Wi-Fi AP",1774456173,1774456592,419,-70,35.7438241151351,-78.647327395633,0
F6:9F:C2:A9:02:00,IEEE802.11,"Wi-Fi AP",1774456169,1774456587,418,-94,35.743519782273,-78.6473610132113,0
FA:9F:C2:9B:F1:BB,IEEE802.11,"Wi-Fi AP",1774456169,1774456587,418,-94,35.7436913371365,-78.6471745111142,0
F0:9F:C2:F4:F3:44,IEEE802.11,"Wi-Fi AP",1774456169,1774456587,418,-94,35.7436913371365,-78.6471745111142,0
FE:9F:C2:0A:54:8F,IEEE802.11,"Wi-Fi AP",1774456169,1774456587,418,-95,35.7436913371365,-78.6471745111142,0
86:97:33:1E:68:EB,IEEE802.11,"Wi-Fi AP",1774456177,1774456595,418,-68,35.7437349196105,-78.6473838358651,0
A4:97:33:13:9F:D0,IEEE802.11,"Wi-Fi AP",1774456185,1774456595,410,-61,35.7435779473928,-78.6476402234646,0
7C:0C:F6:00:9B:D4,IEEE802.11,"Wi-Fi AP",1774456189,1774456591,402,-84,35.7432602530305,-78.6478993373585,0
80:CC:9C:6F:30:D5,IEEE802.11,"Wi-Fi AP",1774456193,1774456595,402,-87,35.7429464462098,-78.6483477233661,0
C4:AD:34:20:C8:C9,IEEE802.11,"Wi-Fi Client",1774456240,1774456642,402,-78,35.7423499192994,-78.6496666045485,0
54:AF:97:47:84:0A,IEEE802.11,"Wi-Fi AP",1774456197,1774456592,395,-75,35.7426935004049,-78.6484423326833,0
72:AF:97:79:42:84,IEEE802.11,"Wi-Fi AP",1774456197,1774456592,395,-76,35.742901333,-78.648755167,0
80:CC:9C:DC:8D:36,IEEE802.11,"Wi-Fi AP",1774456196,1774456591,395,-69,35.7426935004049,-78.6484423326833,0
28:38:5C:49:B8:76,IEEE802.11,"Wi-Fi AP",1774456197,1774456591,394,-80,35.7426935004049,-78.6484423326833,0
6E:0B:5E:15:47:B9,IEEE802.11,"Wi-Fi AP",1774456197,1774456591,394,-81,35.7426935004049,-78.6484423326833,0
2C:67:BE:24:64:C2,IEEE802.11,"Wi-Fi AP",1774456205,1774456592,387,-82,35.7422166668504,-78.6490461695026,0
F4:8E:38:B2:E4:2F,IEEE802.11,"Wi-Fi Bridged",1774455396,1774455779,383,0,0.0,0.0,1830
A4:97:33:9B:66:BB,IEEE802.11,"Wi-Fi AP",1774456204,1774456583,379,-80,35.7411395415793,-78.6492166671748,0
44:AD:B1:B3:E4:43,IEEE802.11,"Wi-Fi AP",1774456205,1774456584,379,-84,35.7415730001547,-78.6491438335996,0
AC:DF:9F:A8:3C:0C,IEEE802.11,"Wi-Fi AP",1774456204,1774456583,379,-76,35.741481416626,-78.6491626668891,0
1E:AD:B1:96:73:3F,IEEE802.11,"Wi-Fi AP",1774456208,1774456587,379,-86,35.7415135006873,-78.6492607532364,0
44:AD:B1:5C:03:42,IEEE802.11,"Wi-Fi AP",1774456209,1774456587,378,-85,35.7415135006873,-78.6492607532364,0
80:2A:A8:B5:3C:47,IEEE802.11,"Wi-Fi AP",1774455408,1774455779,371,-85,35.7807146687866,-78.6411530531025,0
30:A0:23:BE:07:5A,IEEE802.11,"Wi-Fi Bridged",1774455408,1774455779,371,0,0.0,0.0,5201
8A:2A:A8:33:2F:C4,IEEE802.11,"Wi-Fi AP",1774455408,1774455779,371,-85,35.7807146687866,-78.6411530531025,0
86:2A:A8:D8:66:C1,IEEE802.11,"Wi-Fi AP",1774455408,1774455779,371,-86,35.7805267524362,-78.6409083313891,0
92:2A:A8:33:AA:C5,IEEE802.11,"Wi-Fi AP",1774455408,1774455779,371,-87,35.7805267524362,-78.6409083313891,0
8E:2A:A8:06:52:4B,IEEE802.11,"Wi-Fi AP",1774455408,1774455779,371,-86,35.7805267524362,-78.6409083313891,0
