devmac,type,strongest_signal,dur_sec,lat_km,lon_km,manuf
00:03:7F:72:7B:FA,"Wi-Fi Ad-Hoc",-83,1313,2.866,3.418,"Atheros Communications, Inc."
50:6F:9A:D1:AE:42,"Wi-Fi Ad-Hoc",0,1057,0.0,0.0,"Wi-Fi Alliance"
DC:2C:6E:03:C3:05,"Wi-Fi Ad-Hoc",-92,592,0.379,0.043,Routerboard.com
C4:AD:34:EC:09:CF,"Wi-Fi Client",0,576,0.0,0.0,Routerboard.com
00:14:3E:95:EF:55,"Wi-Fi AP",-84,497,0.023,0.438,"AirLink Communications, Inc."
06:11:22:12:98:66,"Wi-Fi Bridged",0,482,0.0,0.0,Unknown
C2:36:BC:3B:04:B0,"Wi-Fi AP",-93,473,0.0,0.0,"ASUSTek COMPUTER INC."
94:91:7F:D2:17:B6,"Wi-Fi AP",-64,465,0.061,0.352,"ASKEY COMPUTER CORP"
02:18:4A:8E:EB:C5,"Wi-Fi AP",-73,442,0.198,0.196,"Cisco Systems, Inc"
7E:08:DA:AD:6D:F6,"Wi-Fi AP",-67,434,0.202,0.231,Unknown
DC:08:DA:19:50:ED,"Wi-Fi AP",-71,434,0.202,0.231,"ASKEY COMPUTER CORP"
7C:DB:98:45:41:F4,"Wi-Fi AP",-82,427,0.229,0.204,"ASKEY COMPUTER CORP"
FC:34:97:95:AA:39,"Wi-Fi AP",-95,426,0.063,0.19,"ASUSTek COMPUTER INC."
7C:0C:F6:1F:EE:A5,"Wi-Fi AP",-70,419,0.125,0.193,"Guangdong Huiwei High-tech Co., Ltd."
86:97:33:1E:68:EB,"Wi-Fi AP",-68,418,0.128,0.19,Unknown
F0:9F:C2:F4:F3:44,"Wi-Fi AP",-94,418,0.229,0.204,"Ubiquiti Inc"
F6:9F:C2:A9:02:00,"Wi-Fi AP",-94,418,0.229,0.204,"Ubiquiti Inc"
FA:9F:C2:9B:F1:BB,"Wi-Fi AP",-94,418,0.229,0.204,"Ubiquiti Inc"
FE:9F:C2:0A:54:8F,"Wi-Fi AP",-95,418,0.229,0.204,"Ubiquiti Inc"
A4:97:33:13:9F:D0,"Wi-Fi AP",-61,410,0.11,0.179,"ASKEY COMPUTER CORP"
7C:0C:F6:00:9B:D4,"Wi-Fi AP",-84,402,0.08,0.156,"Guangdong Huiwei High-tech Co., Ltd."
80:CC:9C:6F:30:D5,"Wi-Fi AP",-87,402,0.166,0.124,NETGEAR
C4:AD:34:20:C8:C9,"Wi-Fi Client",-78,402,1.367,0.15,Routerboard.com
54:AF:97:47:84:0A,"Wi-Fi AP",-75,395,0.046,0.057,"TP-Link Systems Inc"
72:AF:97:79:42:84,"Wi-Fi AP",-76,395,0.0,0.0,"TP-LINK TECHNOLOGIES CO.,LTD."
80:CC:9C:DC:8D:36,"Wi-Fi AP",-69,395,0.046,0.057,NETGEAR
28:38:5C:49:B8:76,"Wi-Fi AP",-80,394,0.046,0.057,FLEXTRONICS
6E:0B:5E:15:47:B9,"Wi-Fi AP",-81,394,0.046,0.057,"Hewlett Packard"
2C:67:BE:24:64:C2,"Wi-Fi AP",-82,387,0.152,0.053,"DWnet Technologies(Suzhou) Corporation"
F4:8E:38:B2:E4:2F,"Wi-Fi Bridged",0,383,0.0,0.0,"Dell Inc."
1E:AD:B1:96:73:3F,"Wi-Fi AP",-86,379,0.14,0.074,"Epigram, Inc."
44:AD:B1:B3:E4:43,"Wi-Fi AP",-84,379,0.009,0.035,"Sagemcom Broadband SAS"
A4:97:33:9B:66:BB,"Wi-Fi AP",-80,379,0.194,0.032,"ASKEY COMPUTER CORP"
AC:DF:9F:A8:3C:0C,"Wi-Fi AP",-76,379,0.011,0.032,"Arcadyan Corporation"
44:AD:B1:5C:03:42,"Wi-Fi AP",-85,378,0.14,0.074,"Sagemcom Broadband SAS"
30:A0:23:BE:07:5A,"Wi-Fi Bridged",0,371,0.0,0.0,"ROCK PATH S.R.L"
80:2A:A8:B5:3C:47,"Wi-Fi AP",-85,371,0.087,0.14,"Ubiquiti Inc"
86:2A:A8:D8:66:C1,"Wi-Fi AP",-86,371,0.049,0.14,"Ubiquiti Inc"
8A:2A:A8:33:2F:C4,"Wi-Fi AP",-85,371,0.087,0.14,"Ubiquiti Inc"
8E:2A:A8:06:52:4B,"Wi-Fi AP",-86,371,0.049,0.14,"Ubiquiti Inc"
90:D3:CF:67:74:D8,"Wi-Fi AP",-72,371,0.178,0.002,"ASKEY COMPUTER CORP"
92:2A:A8:33:AA:C5,"Wi-Fi AP",-87,371,0.049,0.14,"Ubiquiti Inc"
AC:DF:10:74:33:2F,"Wi-Fi AP",-82,371,0.158,0.006,Unknown
AC:DF:9F:47:1A:DC,"Wi-Fi AP",-82,371,0.158,0.006,"Arcadyan Corporation"
DC:08:DA:15:5E:2C,"Wi-Fi AP",-80,371,0.015,0.01,"ASKEY COMPUTER CORP"
7A:B2:48:33:B7:CE,"Wi-Fi Bridged",0,367,0.0,0.0,Unknown
D8:9E:F3:94:3D:33,"Wi-Fi Bridged",0,364,0.0,0.0,"Dell Inc."
1A:67:BE:B8:4F:3A,"Wi-Fi AP",-86,363,0.169,0.02,"Epigram, Inc."
2C:67:BE:C9:A7:CE,"Wi-Fi AP",-86,363,0.169,0.02,"DWnet Technologies(Suzhou) Corporation"
80:2A:A8:86:AA:80,"Wi-Fi AP",-91,363,0.089,0.14,"Ubiquiti Inc"
86:2A:A8:22:E7:1A,"Wi-Fi AP",-92,363,0.089,0.14,"Ubiquiti Inc"
8A:15:04:7C:FB:74,"Wi-Fi AP",-73,363,0.048,0.143,"Cisco Meraki"
8A:2A:A8:4C:57:50,"Wi-Fi AP",-93,363,0.089,0.14,"Ubiquiti Inc"
8E:2A:A8:ED:83:D3,"Wi-Fi AP",-93,363,0.089,0.14,"Ubiquiti Inc"
92:2A:A8:BE:C5:A2,"Wi-Fi AP",-93,363,0.089,0.14,"Ubiquiti Inc"
38:06:E6:9E:2D:F5,"Wi-Fi AP",-47,355,3.103,0.25,"Arcadyan Corporation"
50:9A:4C:1F:7F:35,"Wi-Fi Bridged",0,353,0.0,0.0,"Dell Inc."
2E:AB:F8:D2:27:EA,"Wi-Fi AP",-80,348,0.291,0.053,Unknown
4C:AB:F8:C1:6F:78,"Wi-Fi AP",-80,348,0.291,0.053,"ASKEY COMPUTER CORP"
C4:41:1E:60:92:EC,"Wi-Fi AP",-60,348,0.126,0.15,"Belkin International Inc."
CA:41:1E:2A:06:59,"Wi-Fi AP",-61,348,0.086,0.153,Unknown
E2:70:EA:0F:1D:B4,"Wi-Fi AP",-56,348,0.069,0.149,"Hewlett Packard"
1A:84:06:2A:CB:4A,"Wi-Fi Bridged",0,347,0.0,0.0,Unknown
4C:A3:8F:EF:70:2B,"Wi-Fi AP",-74,347,0.675,0.369,"shenzhen trolink  Technology Co.,Ltd"
8A:15:04:3D:AA:8F,"Wi-Fi AP",-62,347,0.114,0.018,"Cisco Systems, Inc"
FC:EC:DA:C4:F9:4A,"Wi-Fi AP",-81,347,0.0,0.0,"Ubiquiti Inc"
46:6B:B8:94:B8:74,"Wi-Fi AP",-87,340,0.247,0.024,"Roku, Inc"
58:96:71:B2:48:71,"Wi-Fi AP",-89,340,0.321,0.149,"Wistron Neweb Corporation"
58:96:71:EE:61:59,"Wi-Fi AP",-90,340,0.321,0.149,"Wistron Neweb Corporation"
6C:AA:B3:0F:94:0D,"Wi-Fi AP",-66,340,0.263,0.31,"Ruckus Wireless"
6C:AA:B3:59:D5:E3,"Wi-Fi AP",-66,340,0.263,0.31,"Ruckus Wireless"
10:D7:B0:5D:94:F2,"Wi-Fi AP",-92,339,0.377,0.101,"Sagemcom Broadband SAS"
6C:AA:B3:A6:4F:51,"Wi-Fi AP",-53,339,0.321,0.347,"Ruckus Wireless"
6C:AA:B3:FF:0E:2F,"Wi-Fi AP",-54,339,0.321,0.347,"Ruckus Wireless"
18:A5:FF:4B:9C:EA,"Wi-Fi AP",-72,332,0.115,0.047,"Arcadyan Corporation"
18:A5:FF:82:F5:CC,"Wi-Fi AP",-68,332,0.094,0.259,"Arcadyan Corporation"
A4:BB:6D:0C:79:94,"Wi-Fi Bridged",0,332,0.0,0.0,"Dell Inc."
1C:B0:44:69:0C:5F,"Wi-Fi AP",-80,324,0.136,0.093,"ASKEY COMPUTER CORP"
58:96:71:28:31:26,"Wi-Fi AP",-70,324,0.185,0.058,"Wistron Neweb Corporation"
A8:40:F8:36:08:C2,"Wi-Fi AP",-85,324,0.126,0.174,"HUMAX NETWORKS"
A8:40:F8:AD:CE:FD,"Wi-Fi AP",-85,324,0.126,0.083,"HUMAX NETWORKS"
AC:86:74:0F:BD:1B,"Wi-Fi AP",-61,324,0.188,0.149,"Open Mesh, Inc."
E0:63:DA:AB:F2:20,"Wi-Fi AP",-79,324,0.201,0.126,"Ubiquiti Inc"
E2:55:7D:39:36:64,"Wi-Fi Ad-Hoc",-76,324,0.064,0.145,"Cisco Meraki"
E6:63:DA:DE:98:0E,"Wi-Fi AP",-81,324,0.201,0.126,"Ubiquiti Inc"
1C:B0:44:78:62:17,"Wi-Fi AP",-75,323,0.206,0.273,"ASKEY COMPUTER CORP"
70:7D:A1:5F:44:BA,"Wi-Fi AP",-75,323,0.185,0.253,"Sagemcom Broadband SAS"
