devmac,type,dur_sec,sig,lat_km,lon_km,manuf
06:11:22:12:98:66,"Wi-Fi Bridged",482,0,0.0,0.0,Unknown
F4:8E:38:B2:E4:2F,"Wi-Fi Bridged",383,0,0.0,0.0,"Dell Inc."
30:A0:23:BE:07:5A,"Wi-Fi Bridged",371,0,0.0,0.0,"ROCK PATH S.R.L"
7A:B2:48:33:B7:CE,"Wi-Fi Bridged",367,0,0.0,0.0,Unknown
D8:9E:F3:94:3D:33,"Wi-Fi Bridged",364,0,0.0,0.0,"Dell Inc."
50:9A:4C:1F:7F:35,"Wi-Fi Bridged",353,0,0.0,0.0,"Dell Inc."
1A:84:06:2A:CB:4A,"Wi-Fi Bridged",347,0,0.0,0.0,Unknown
A4:BB:6D:0C:79:94,"Wi-Fi Bridged",332,0,0.0,0.0,"Dell Inc."
D8:B3:70:38:05:BC,"Wi-Fi Bridged",321,0,0.0,0.0,"Ubiquiti Inc"
20:32:33:09:E2:5C,"Wi-Fi Client",316,-82,0.024,0.252,"SHENZHEN BILIAN ELECTRONIC CO.，LTD"
18:FD:74:B9:A8:94,"Wi-Fi Client",315,-60,0.464,1.205,Routerboard.com
